trigger_id,source_module,signal_type,variable,test,score,threshold,severity,recommendation,affected_layer,action,generated_at
DRIFT_MEAN_SHIFT_ZTEST_LOG_DURATION,layer6_drift_detection,drift,log_duration,mean_shift_ztest,3.2097,2.0,critical,RETRAIN_TRIGGER: Mean log-duration shifted by z=3.21 standard errors. Layer 4.5 global prior should be updated.,Layer4.5,retrain_duration_model,2026-06-19T10:34:30Z
DRIFT_PAGE_HINKLEY_LOG_DURATION,layer6_drift_detection,drift,log_duration,page_hinkley,326.8316,5.0,critical,RETRAIN_TRIGGER: Page-Hinkley detects shift in log-duration sequence. Recommend updating Layer 4.5 duration priors.,Layer4.5,retrain_duration_model,2026-06-19T10:34:30Z
DUR_SHIFT_CONSTRUCTION_ORR_EAST_1,layer6_bayesian_duration,duration_posterior_shift,construction × ORR East 1,posterior_sigma_shift,15.7001,1.5,critical,Stratum 'construction × ORR East 1': posterior_mu shifted +6.766 log-units (15.7 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_OTHERS_OLD_AIRPORT_ROAD,layer6_bayesian_duration,duration_posterior_shift,others × Old Airport Road,posterior_sigma_shift,5.0367,1.5,critical,Stratum 'others × Old Airport Road': posterior_mu shifted -3.610 log-units (5.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_OTHERS_OLD_MADRAS_ROAD,layer6_bayesian_duration,duration_posterior_shift,others × Old Madras Road,posterior_sigma_shift,5.0525,1.5,critical,Stratum 'others × Old Madras Road': posterior_mu shifted +2.243 log-units (5.1 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_CBD_1,layer6_bayesian_duration,duration_posterior_shift,pot_holes × CBD 1,posterior_sigma_shift,4.8866,1.5,critical,Stratum 'pot_holes × CBD 1': posterior_mu shifted -6.407 log-units (4.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_CBD_2,layer6_bayesian_duration,duration_posterior_shift,pot_holes × CBD 2,posterior_sigma_shift,3.6418,1.5,critical,Stratum 'pot_holes × CBD 2': posterior_mu shifted -7.750 log-units (3.6 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
L5_CHANCE_CONSTRAINT_VIOLATION,layer5_chance_constraint_violations,constraint_violation,chance_constraint_satisfaction,realized_satisfaction_rate,-0.14,0.0,critical,1 event(s) violated chance constraints (mean margin=-0.140). Layer 5 epsilon parameters or risk tiers may need adjustment. Review duration quantile accuracy for critical-tier events.,Layer5,review_risk_tiers,2026-06-19T10:34:30Z
CALIB_BIN_1_SHIFT,layer6_calibration_updates,calibration_bin,"bin_1 [0.1,0.2]",beta_posterior_shift,0.35,0.1,moderate,"Bin [0.1,0.2]: posterior mean=0.500, raw pred=0.150 (shift=+0.350). Posterior updated; consider recalibration pass.",Layer4.5,recalibrate_bin,2026-06-19T10:34:30Z
CALIB_BIN_3_SHIFT,layer6_calibration_updates,calibration_bin,"bin_3 [0.3,0.4]",beta_posterior_shift,0.15,0.1,moderate,"Bin [0.3,0.4]: posterior mean=0.500, raw pred=0.350 (shift=+0.150). Posterior updated; consider recalibration pass.",Layer4.5,recalibrate_bin,2026-06-19T10:34:30Z
CALIB_BIN_6_SHIFT,layer6_calibration_updates,calibration_bin,"bin_6 [0.6,0.7]",beta_posterior_shift,0.15,0.1,moderate,"Bin [0.6,0.7]: posterior mean=0.500, raw pred=0.650 (shift=-0.150). Posterior updated; consider recalibration pass.",Layer4.5,recalibrate_bin,2026-06-19T10:34:30Z
CALIB_BIN_7_SHIFT,layer6_calibration_updates,calibration_bin,"bin_7 [0.7,0.8]",beta_posterior_shift,0.25,0.1,moderate,"Bin [0.7,0.8]: posterior mean=0.500, raw pred=0.750 (shift=-0.250). Posterior updated; consider recalibration pass.",Layer4.5,recalibrate_bin,2026-06-19T10:34:30Z
DRIFT_PSI_HOUR_LOCAL,layer6_drift_detection,drift,hour_local,psi,0.1526,0.25,moderate,RETRAIN_TRIGGER: PSI=0.1526 on 'hour_local' indicates moderate distributional shift.,Layer4.5,retrain_duration_model,2026-06-19T10:34:30Z
DUR_SHIFT_ACCIDENT_BELLARY_ROAD_2,layer6_bayesian_duration,duration_posterior_shift,accident × Bellary Road 2,posterior_sigma_shift,1.5173,1.5,moderate,Stratum 'accident × Bellary Road 2': posterior_mu shifted +0.809 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_CONGESTION_HENNUR_MAIN_ROAD,layer6_bayesian_duration,duration_posterior_shift,congestion × Hennur Main Road,posterior_sigma_shift,1.5412,1.5,moderate,Stratum 'congestion × Hennur Main Road': posterior_mu shifted +0.578 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_CONSTRUCTION_BELLARY_ROAD_1,layer6_bayesian_duration,duration_posterior_shift,construction × Bellary Road 1,posterior_sigma_shift,1.5391,1.5,moderate,Stratum 'construction × Bellary Road 1': posterior_mu shifted +2.996 log-units (1.5 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_CONSTRUCTION_ORR_WEST_1,layer6_bayesian_duration,duration_posterior_shift,construction × ORR West 1,posterior_sigma_shift,1.8856,1.5,moderate,Stratum 'construction × ORR West 1': posterior_mu shifted -4.288 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_CONSTRUCTION_WEST_OF_CHORD_ROAD,layer6_bayesian_duration,duration_posterior_shift,construction × West of Chord Road,posterior_sigma_shift,2.2136,1.5,moderate,Stratum 'construction × West of Chord Road': posterior_mu shifted -5.034 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_OTHERS_ORR_NORTH_1,layer6_bayesian_duration,duration_posterior_shift,others × ORR North 1,posterior_sigma_shift,2.3866,1.5,moderate,Stratum 'others × ORR North 1': posterior_mu shifted -3.938 log-units (2.4 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_OLD_MADRAS_ROAD,layer6_bayesian_duration,duration_posterior_shift,pot_holes × Old Madras Road,posterior_sigma_shift,1.9218,1.5,moderate,Stratum 'pot_holes × Old Madras Road': posterior_mu shifted -0.785 log-units (1.9 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_ORR_NORTH_1,layer6_bayesian_duration,duration_posterior_shift,pot_holes × ORR North 1,posterior_sigma_shift,1.7624,1.5,moderate,Stratum 'pot_holes × ORR North 1': posterior_mu shifted -3.751 log-units (1.8 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_POT_HOLES_ORR_WEST_1,layer6_bayesian_duration,duration_posterior_shift,pot_holes × ORR West 1,posterior_sigma_shift,1.8628,1.5,moderate,Stratum 'pot_holes × ORR West 1': posterior_mu shifted -3.964 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_PUBLIC_EVENT_MYSORE_ROAD,layer6_bayesian_duration,duration_posterior_shift,public_event × Mysore Road,posterior_sigma_shift,1.9368,1.5,moderate,Stratum 'public_event × Mysore Road': posterior_mu shifted -3.563 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_PUBLIC_EVENT_NON-CORRIDOR,layer6_bayesian_duration,duration_posterior_shift,public_event × Non-corridor,posterior_sigma_shift,2.9817,1.5,moderate,Stratum 'public_event × Non-corridor': posterior_mu shifted -4.171 log-units (3.0 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_ROAD_CONDITIONS_ORR_WEST_1,layer6_bayesian_duration,duration_posterior_shift,road_conditions × ORR West 1,posterior_sigma_shift,2.8309,1.5,moderate,Stratum 'road_conditions × ORR West 1': posterior_mu shifted -5.343 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_TREE_FALL_MAGADI_ROAD,layer6_bayesian_duration,duration_posterior_shift,tree_fall × Magadi Road,posterior_sigma_shift,1.8838,1.5,moderate,Stratum 'tree_fall × Magadi Road': posterior_mu shifted -2.677 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_VEHICLE_BREAKDOWN_CBD_2,layer6_bayesian_duration,duration_posterior_shift,vehicle_breakdown × CBD 2,posterior_sigma_shift,2.8017,1.5,moderate,Stratum 'vehicle_breakdown × CBD 2': posterior_mu shifted -1.990 log-units (2.8 sigma). Prior fallback level: stratum. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_WATER_LOGGING_OLD_AIRPORT_ROAD,layer6_bayesian_duration,duration_posterior_shift,water_logging × Old Airport Road,posterior_sigma_shift,1.9213,1.5,moderate,Stratum 'water_logging × Old Airport Road': posterior_mu shifted -3.354 log-units (1.9 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
DUR_SHIFT_WATER_LOGGING_OLD_MADRAS_ROAD,layer6_bayesian_duration,duration_posterior_shift,water_logging × Old Madras Road,posterior_sigma_shift,2.2484,1.5,moderate,Stratum 'water_logging × Old Madras Road': posterior_mu shifted -3.925 log-units (2.2 sigma). Prior fallback level: cause. Recommend updating Layer 4.5 duration priors for this stratum.,Layer4.5,update_duration_prior,2026-06-19T10:34:30Z
TRUST_DEGRADED_P32,layer6_adaptive_learning,prototype_trust,prototype_32,beta_binomial_trust,0.4949,0.5,moderate,Prototype 32 (public_event / Non-corridor): trust degraded from 0.490 to 0.495. Review prototype representativeness; consider refreshing with recent events.,Layer4,refresh_prototype,2026-06-19T10:34:30Z
TRUST_DEGRADED_P8,layer6_adaptive_learning,prototype_trust,prototype_8,beta_binomial_trust,0.4949,0.5,moderate,Prototype 8 (public_event / Non-corridor): trust degraded from 0.490 to 0.495. Review prototype representativeness; consider refreshing with recent events.,Layer4,refresh_prototype,2026-06-19T10:34:30Z
DUR_SPARSE_STRATA,layer6_bayesian_duration,sparse_stratum,stratum coverage,n_eff,1.5505714285714285,3.0,info,"70 strata had n_eff < 3 in the feedback batch (causes: ['accident', 'congestion', 'construction', 'others', 'pot_holes']). Fell back to cause or global prior; consider data collection for underrepresented strata.",Layer4.5,collect_more_data,2026-06-19T10:34:30Z
